user_id,item_id,rating,timestamp,rating
807,1411,1,893082619,1
474,659,5,887925187,5
463,268,4,877384940,4
139,286,4,879537844,4
621,751,4,883799651,4
264,137,3,886122892,3
262,219,3,879794206,3
7,300,4,891350703,4
653,393,2,880152426,2
235,198,3,889655044,3
338,189,4,879438449,4
592,307,4,882607528,4
405,1478,1,885546636,1
394,176,5,881130008,5
325,1411,4,891478981,4
74,272,5,888333194,5
727,474,3,883710910,3
457,458,3,882393765,3
880,793,4,880174677,4
573,492,4,885843964,4
178,11,5,882826162,5
405,994,1,885549746,1
299,474,5,877880474,5
919,815,2,875289533,2
218,1073,5,881288265,5
15,111,4,879455914,4
749,238,3,878847863,3
610,275,4,888703453,4
343,135,5,876404568,5
478,137,4,889398260,4
870,1267,2,879270213,2
938,151,4,891356679,4
2,300,4,888979197,4
932,514,5,891249932,5
191,332,2,891562090,2
680,25,4,876816310,4
689,151,3,876676501,3
767,187,4,891462658,4
262,278,3,879790741,3
241,310,4,887249576,4
363,370,3,891500269,3
692,476,3,876953279,3
6,498,4,883601053,4
215,134,4,891435266,4
58,50,4,884304328,4
580,222,3,884125292,3
181,1296,1,878962006,1
454,492,3,888266643,3
643,674,3,891449901,3
693,218,4,875483473,4
838,72,4,887067162,4
99,409,2,885679411,2
488,200,2,891294606,2
7,268,3,891350703,3
697,1067,5,882622170,5
772,315,5,889028363,5
42,409,3,881106270,3
561,217,3,885810858,3
247,1022,4,893097024,4
108,471,2,879880076,2
487,282,4,883442105,4
568,494,4,877907835,4
178,1016,4,882824253,4
308,193,3,887737837,3
397,178,5,885349759,5
158,510,3,880134296,3
806,47,4,882387563,4
712,232,3,874956903,3
693,210,3,875484044,3
610,606,5,888703343,5
604,443,3,883668352,3
470,221,4,879178370,4
584,114,4,885778238,4
312,1172,5,891699538,5
820,264,3,887955180,3
455,508,4,882141385,4
316,323,1,880853152,1
868,726,2,877109926,2
152,944,4,882476632,4
450,612,4,882396564,4
809,333,3,891036903,3
320,233,4,884749281,4
896,225,1,887161518,1
379,621,4,880525815,4
486,883,3,879874388,3
561,234,3,885808824,3
235,483,5,889655204,5
393,154,2,887746302,2
637,408,5,882901355,5
254,15,3,886471307,3
869,282,3,884490987,3
427,680,5,879701326,5
264,1009,4,886124417,4
918,433,2,891987082,2
158,229,3,880134532,3
766,435,3,891309053,3
287,941,3,875335424,3
917,248,4,882912385,4
276,943,4,883822485,4
387,52,5,886483497,5
450,616,4,882373597,4
268,151,3,875742470,3
357,841,3,878951918,3
334,347,3,891547445,3
425,27,3,878738695,3
845,896,3,885409374,3
943,318,3,888639093,3
554,276,3,876548886,3
293,507,4,888905665,4
292,56,5,881105373,5
608,655,5,880405395,5
254,649,1,886474619,1
881,521,4,876537870,4
406,482,5,879446588,5
691,79,5,875543025,5
60,207,3,883327342,3
881,88,3,876538595,3
332,684,5,888360370,5
568,1203,5,877907281,5
70,161,3,884067638,3
7,391,3,892132943,3
487,820,3,883444884,3
632,679,4,879459321,4
916,195,3,880844920,3
886,1217,4,876033602,4
664,732,3,876525315,3
234,40,2,892335894,2
144,194,5,888105287,5
933,168,3,874853869,3
606,138,3,880927923,3
560,321,3,879975151,3
303,514,5,879466667,5
314,1152,4,877887469,4
500,133,3,883875681,3
433,474,3,880585759,3
634,274,3,876170992,3
825,508,4,880756725,4
407,519,4,875042466,4
897,465,5,879992030,5
716,95,4,879794775,4
524,520,3,884637314,3
36,873,3,882157386,3
720,872,3,891262780,3
536,195,4,882359431,4
452,603,4,887718667,4
21,551,3,874951898,3
324,273,5,880575449,5
381,225,3,892697495,3
650,72,2,891386755,2
181,146,1,878962955,1
38,400,1,892434036,1
689,471,4,876676433,4
169,483,3,891359200,3
91,616,4,891439439,4
1,83,3,875072370,3
160,640,3,876860808,3
299,1141,4,877880522,4
357,473,3,878951831,3
206,332,3,888179602,3
802,196,3,875985239,3
640,214,5,874778274,5
160,135,4,876860807,4
588,208,3,890023879,3
177,1110,3,880131123,3
42,451,2,881108982,2
201,656,4,884111775,4
815,65,5,878694664,5
59,125,3,888203658,3
849,406,4,879695125,4
716,180,3,879794815,3
314,763,5,877886706,5
222,732,4,878183425,4
145,106,4,875270655,4
868,662,2,877103714,2
425,318,2,878737841,2
370,435,3,879434999,3
554,1012,3,876231839,3
6,531,4,883600747,4
94,186,4,891722278,4
567,504,4,882425874,4
285,151,5,890595636,5
450,1249,3,882812821,3
109,755,5,880578814,5
63,306,3,875746948,3
641,64,4,879370337,4
702,300,3,885767461,3
279,80,4,875313750,4
829,192,5,881712519,5
239,288,2,889178513,2
617,635,4,883789716,4
916,421,5,880844291,5
642,204,4,885602593,4
405,969,3,885545015,3
896,28,2,887158738,2
621,1185,3,881445012,3
59,196,5,888205088,5
87,732,4,879876703,4
864,232,4,888889327,4
382,1381,3,875945757,3
664,203,4,876526685,4
340,502,2,884991678,2
185,321,5,883524428,5
43,781,3,883956494,3
276,289,2,890979634,2
362,264,1,885019695,1
109,395,3,880583672,3
624,597,3,879793129,3
254,21,3,886474518,3
619,300,5,885953684,5
429,248,5,882386870,5
29,189,4,882821942,4
622,588,4,882592246,4
105,307,2,889214381,2
121,292,4,891388960,4
40,337,4,889041523,4
655,872,3,888685879,3
889,94,4,880181646,4
659,86,5,891386071,5
881,172,4,876538986,4
346,1110,1,875264985,1
425,679,3,878738548,3
210,208,5,887730443,5
429,80,3,882386684,3
200,951,5,884130014,5
38,758,1,892434626,1
894,318,5,879897168,5
655,1100,3,887427371,3
897,56,2,879991037,2
59,755,4,888206254,4
704,603,5,891397262,5
612,127,2,875325049,2
213,127,5,878870790,5
721,471,5,877138200,5
488,222,4,891376029,4
938,276,3,891356572,3
344,597,2,884900454,2
723,988,1,880499254,1
116,294,2,876453376,2
345,365,2,884993760,2
314,501,4,877888610,4
718,546,4,883349158,4
345,534,4,884994592,4
95,432,3,879197886,3
659,942,3,891386347,3
863,754,3,889289067,3
