movieId,rating
1,3.9
2,3.3
3,3.1
4,2.9
5,3.1
6,3.9
7,3.4
8,3.1
9,3.0
10,3.4
11,3.7
12,2.6
13,3.3
14,3.4
15,2.7
16,3.8
17,3.9
18,3.4
19,2.6
20,2.9
21,3.6
22,3.3
23,3.1
24,3.2
25,3.7
26,3.6
27,3.4
28,4.0
29,3.9
30,3.6
31,3.2
32,3.9
33,3.0
34,3.6
35,3.5
36,3.9
37,3.0
38,2.9
39,3.4
40,3.6
41,3.8
42,3.0
43,3.4
44,2.7
45,3.4
46,3.3
47,4.1
48,3.0
49,3.5
50,4.3
51,2.6
52,3.5
53,3.6
54,2.8
55,3.2
56,1.9
57,3.3
58,4.0
59,3.6
60,3.1
61,3.3
62,3.7
63,3.1
64,2.8
65,2.4
66,2.1
67,3.3
68,3.4
69,3.6
70,3.3
71,2.3
72,3.5
73,3.8
74,3.3
75,2.4
76,3.0
77,3.4
78,3.2
79,3.1
80,3.7
81,3.3
82,4.0
83,3.6
84,3.4
85,3.5
86,3.5
87,2.3
88,3.1
89,3.1
90,3.3
92,2.9
93,2.5
94,3.5
95,3.1
96,3.7
97,4.0
98,2.6
99,3.1
100,3.2
101,3.8
102,2.4
103,3.3
104,3.4
105,3.3
106,3.4
107,3.2
108,3.1
109,2.1
110,4.0
111,4.1
112,3.4
113,3.1
114,3.6
115,3.5
116,3.9
117,3.6
118,3.0
119,2.7
120,2.8
121,3.7
122,2.9
123,4.0
124,3.5
125,3.7
126,2.3
127,3.1
128,3.5
129,3.1
130,3.2
131,3.3
132,2.8
133,2.6
134,3.5
135,3.0
136,3.6
137,3.3
138,3.2
139,3.1
140,3.3
141,3.5
142,3.0
143,1.9
144,3.5
145,3.3
146,2.9
147,3.6
148,2.9
149,3.7
150,3.9
151,3.5
152,3.1
153,2.9
154,3.8
155,3.4
156,3.5
157,2.8
158,2.9
159,3.4
160,2.6
161,3.7
162,4.0
163,3.4
164,3.5
165,3.5
166,2.8
167,3.1
168,3.1
169,2.3
170,3.2
171,3.6
172,2.8
173,2.6
174,2.4
175,3.5
176,3.8
177,2.9
178,3.4
179,2.7
180,3.6
181,2.0
182,3.1
183,3.4
184,3.1
185,3.1
186,2.9
187,3.4
188,3.3
189,3.0
190,3.6
191,2.7
192,3.0
193,2.2
194,3.8
195,3.1
196,2.8
197,3.1
198,3.4
199,3.8
200,2.8
201,3.0
202,3.1
203,3.1
204,2.9
205,3.5
206,3.4
207,3.4
208,2.9
209,2.8
210,2.9
211,3.6
212,2.6
213,4.0
214,4.0
215,3.9
216,3.2
217,2.7
218,3.3
219,3.6
220,2.4
222,3.5
223,3.8
224,3.4
225,3.3
226,2.8
227,3.1
228,2.7
229,3.6
230,3.6
231,3.0
232,4.0
233,3.5
234,2.7
235,3.7
236,3.3
237,3.2
238,3.2
239,3.1
240,2.9
241,3.0
242,3.4
243,2.5
244,2.4
245,3.0
246,4.0
247,3.8
248,3.0
249,3.7
250,3.1
251,3.1
252,3.2
253,3.5
254,2.9
255,2.3
256,2.7
257,3.4
258,2.6
259,3.1
260,4.1
261,3.6
262,3.8
263,3.7
264,3.4
265,3.9
266,3.5
267,2.9
268,3.3
269,3.5
270,3.2
271,3.3
272,3.7
